"group","trait","analysis","configuration_label","folds_used","r2"
"Cluster 5","Stem_diameter","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.0252491474386932
"Cluster 5","Stem_diameter","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.233787190604102
"Cluster 5","Stem_diameter","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.241158431059437
"Cluster 5","Stem_diameter","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.143450715709691
"Cluster 5","Stem_diameter","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.135028688802638
"Cluster 5","Stem_diameter","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.25916191532911
"Cluster 5","Stem_diameter","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.266980604592453
"Cluster 6","Crown_height","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",-0.310535693959554
"Cluster 6","Crown_height","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",-0.0634130246579929
"Cluster 6","Crown_height","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.0367878094862828
"Cluster 6","Crown_height","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.200133481834818
"Cluster 6","Crown_height","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",-0.183865969903424
"Cluster 6","Crown_height","Multi-trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.0790639438577683
"Cluster 6","Crown_height","Single trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.0158771446101306
"Cluster 6","Crown_height","Multi-trait","lambda_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.248078524805094
"Cluster 6","Crown_diameter","Single trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",-0.165794478229105
"Cluster 6","Crown_diameter","Multi-trait","BM_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.254895747634546
"Cluster 6","Crown_diameter","Single trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.0782908704671733
"Cluster 6","Crown_diameter","Multi-trait","BM_TTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.215886251383948
"Cluster 6","Crown_diameter","Single trait","lambda_FTF","fold_1, fold_3, fold_5, fold_6, fold_8, fold_10",0.0535455424943501
